t,tauM,thetaM,Reference
16.69110107421875,-3.2064690589904785,0.03842398524284363,0.09577526897192001
16.691650390625,-3.238010883331299,0.03948139026761055,0.0939604863524437
16.69219970703125,-3.2131094932556152,0.04036007821559906,0.09183387458324432
16.6927490234375,-3.334296226501465,0.04107494279742241,0.0894024521112442
16.693359375,-3.3492372035980225,0.0416259840130806,0.08635320514440536
16.69390869140625,-3.296113967895508,0.042028095573186874,0.08330590277910233
16.6944580078125,-3.2164297103881836,0.04226638376712799,0.07998201251029968
16.69500732421875,-3.3210153579711914,0.042340848594903946,0.0763925313949585
16.695556640625,-3.277853012084961,0.04228127747774124,0.07254935801029205
16.6961669921875,-3.2645726203918457,0.042028095573186874,0.06799712777137756
16.69671630859375,-3.2745327949523926,0.0416259840130806,0.06366115808486938
16.697265625,-2.5988752841949463,0.04106004908680916,0.059113673865795135
16.69781494140625,-2.653658151626587,0.04037496820092201,0.05436976999044418
16.69842529296875,-2.8993520736694336,0.039555855095386505,0.04888754338026047
16.698974609375,-2.8595099449157715,0.03860270231962204,0.043781355023384094
16.69952392578125,-1.5679574012756348,0.03748572617769241,0.03852960094809532
16.7000732421875,-1.5729377269744873,0.036324068903923035,0.033149708062410355
16.70062255859375,-2.075946092605591,0.03507305681705475,0.02765953354537487
16.70123291015625,-2.481008529663086,0.033702898770570755,0.021452175453305244
16.7017822265625,-2.7366628646850586,0.032228488475084305,0.01578940823674202
16.70233154296875,-1.2292985916137695,0.030620044097304344,0.010074000805616379
16.702880859375,-1.3704065084457397,0.02896691858768463,0.004324937239289284
16.7034912109375,-1.9746803045272827,0.027284007519483566,-0.002079155296087265
16.70404052734375,-2.5142104625701904,0.025496846064925194,-0.007836494594812393
16.70458984375,-0.9504030346870422,0.023590538650751114,-0.013567982241511345
16.70513916015625,-1.2492196559906006,0.02162466198205948,-0.019254568964242935
16.7056884765625,-1.9315180778503418,0.01958431862294674,-0.02487734891474247
16.706298828125,-2.406304359436035,0.017439723014831543,-0.03102732077240944
16.70684814453125,-2.603855609893799,0.015190877951681614,-0.03645434230566025
16.7073974609375,-1.1977567672729492,0.012837780639529228,-0.041760362684726715
16.70794677734375,-1.3986281156539917,0.01045489776879549,-0.04692772775888443
16.70849609375,-1.9663798809051514,0.007997550070285797,-0.05193924903869629
16.7091064453125,-2.4461467266082764,0.00540616549551487,-0.05730455741286278
16.70965576171875,-2.6785597801208496,0.0026658501010388136,-0.0619329959154129
16.710205078125,-1.2375990152359009,-0.00017871620366349816,-0.0663556456565857
16.71075439453125,-0.5104784965515137,-0.0030232826247811317,-0.07055777311325073
16.71136474609375,-0.18676042556762695,-0.005867848638445139,-0.0749511793255806
16.7119140625,-0.7312708497047424,-0.008757093921303749,-0.07864274829626083
16.71246337890625,-0.057273197919130325,-0.01169101893901825,-0.08207286149263382
16.7130126953125,1.003526210784912,-0.014639835804700851,-0.08523008227348328
16.71356201171875,1.7472476959228516,-0.017484402284026146,-0.08810387551784515
16.71417236328125,2.258556365966797,-0.020224718376994133,-0.09095294028520584
16.7147216796875,0.9935656785964966,-0.022860782220959663,-0.09319809824228287
16.71527099609375,1.3405249118804932,-0.02546706050634384,-0.0951332300901413
16.7158203125,2.011202335357666,-0.028028659522533417,-0.096751868724823
16.71636962890625,2.346541166305542,-0.030456220731139183,-0.0980486050248146
16.71697998046875,2.6702592372894287,-0.03274974599480629,-0.09910660982131958
16.717529296875,2.8512091636657715,-0.034864552319049835,-0.09971079975366592
16.71807861328125,2.9574551582336426,-0.03686021640896797,-0.09998312592506409
16.7186279296875,3.1201443672180176,-0.03872184455394745,-0.09992265701293945
16.71923828125,3.181567668914795,-0.040449436753988266,-0.09946539998054504
16.71978759765625,3.1682868003845215,-0.042013201862573624,-0.0987042561173439
16.7203369140625,3.199828863143921,-0.04341314733028412,-0.09761447459459305
16.72088623046875,3.1865479946136475,-0.044664159417152405,-0.0961996540427208
16.721435546875,3.2346909046173096,-0.04575134813785553,-0.09446445852518082
16.7220458984375,3.276193141937256,-0.04668961092829704,-0.09216775745153427
16.72259521484375,3.2612521648406982,-0.047449152916669846,-0.08977638185024261
16.72314453125,3.267892599105835,-0.048029981553554535,-0.08708593994379044
16.72369384765625,3.218090057373047,-0.04844698682427406,-0.08410535007715225
16.72430419921875,3.3193554878234863,-0.04871505871415138,-0.08046537637710571
16.724853515625,3.3226757049560547,-0.04880441725254059,-0.07690592110157013
16.72540283203125,3.2097890377044678,-0.048759739845991135,-0.07309014350175858
16.7259521484375,3.3326363563537598,-0.04852145165205002,-0.0690307468175888
16.72650146484375,3.2728729248046875,-0.04811934009194374,-0.06474121659994125
16.72711181640625,3.277853012084961,-0.04753851145505905,-0.05972255766391754
16.7276611328125,3.259592056274414,-0.04680875316262245,-0.05499494448304176
16.72821044921875,2.3050389289855957,-0.04591517150402069,-0.050083909183740616
16.728759765625,2.3249599933624268,-0.04490244761109352,-0.04500580206513405
16.72930908203125,2.663618803024292,-0.043770577758550644,-0.03977752849459648
16.72991943359375,2.80804705619812,-0.04251956567168236,-0.03381340950727463
16.73046875,2.9574551582336426,-0.041134513914585114,-0.028325840830802917
16.73101806640625,1.4700121879577637,-0.03961542621254921,-0.02274366468191147
16.7315673828125,1.665903091430664,-0.03802187368273735,-0.01708548329770565
16.732177734375,2.1689112186431885,-0.036353856325149536,-0.010732416063547134
16.73272705078125,2.3332605361938477,-0.03462626412510872,-0.004975937306880951
16.7332763671875,1.1645551919937134,-0.03277952969074249,0.0007973217288963497
16.73382568359375,1.425189733505249,-0.03085833229124546,0.006568111479282379
16.734375,1.8451931476593018,-0.028862668201327324,0.01231718622148037
16.7349853515625,2.4461467266082764,-0.02674786001443863,0.018656259402632713
16.73553466796875,2.6204564571380615,-0.024499014019966125,0.024296684190630913
16.736083984375,1.1944369077682495,-0.022160809487104416,0.029856249690055847
16.73663330078125,1.493253469467163,-0.019777927547693253,0.035316403955221176
16.7371826171875,2.0460643768310547,-0.017350364476442337,0.040658921003341675
16.73779296875,2.434525966644287,-0.01477387361228466,0.0464354045689106
16.73834228515625,2.661958694458008,-0.0120633440092206,0.05147155374288559
16.7388916015625,1.2691410779953003,-0.009233670309185982,0.05633612349629402
16.73944091796875,1.108112096786499,-0.006344425491988659,0.061012864112854004
16.74005126953125,0.9587036967277527,-0.003470072988420725,0.06596996635198593
16.7406005859375,1.5696178674697876,-0.0005361486109904945,0.07019969075918198
16.74114990234375,0.48225709795951843,0.0025318129919469357,0.0741952583193779
16.74169921875,-0.4822569191455841,0.005629560444504023,0.07794330269098282
16.74224853515625,-1.247559666633606,0.008667736314237118,0.08143129199743271
16.74285888671875,-1.9281977415084839,0.011601660400629044,0.08498767763376236
16.743408203125,-0.6897684931755066,0.014446226879954338,0.08788944780826569
16.74395751953125,-0.9670039415359497,0.017275899648666382,0.09049787372350693
16.7445068359375,-1.780449628829956,0.020060895010828972,0.09280421584844589
16.7451171875,-2.2635366916656494,0.022741638123989105,0.0950031653046608
16.74566650390625,-2.2353150844573975,0.02527344971895218,0.09664765745401382
16.7462158203125,-2.3830630779266357,0.027686119079589844,0.0979694351553917
16.74676513671875,-2.7333426475524902,0.029994536191225052,0.09896405041217804
16.747314453125,-2.8047266006469727,0.0321987047791481,0.09962815791368484
16.7479248046875,-3.0321593284606934,0.034268833696842194,0.09997572004795074
16.74847412109375,-3.0437798500061035,0.036190032958984375,0.09993603825569153
16.7490234375,-3.0537405014038086,0.037947408854961395,0.09956249594688416
16.74957275390625,-3.2546117305755615,0.039526067674160004,0.09885631501674652
16.7501220703125,-3.1068637371063232,0.0409260131418705,0.09781980514526367
16.750732421875,-3.1284449100494385,0.042177025228738785,0.09628493338823318
16.75128173828125,-3.1599864959716797,0.04324932396411896,0.09456368535757065
16.7518310546875,-3.26955246925354,0.04417268931865692,0.09252636134624481
16.75238037109375,-3.247971296310425,0.044947125017642975,0.09017974138259888
16.75299072265625,-3.2546117305755615,0.045542847365140915,0.08721917122602463
16.7535400390625,-3.2844934463500977,0.045989636331796646,0.08424647152423859
16.75408935546875,-3.229710578918457,0.046272605657577515,0.08099206537008286
16.754638671875,-3.2828333377838135,0.046391747891902924,0.07746679335832596
16.75518798828125,-3.3193554878234863,0.04637685790657997,0.07368241995573044
16.75579833984375,-3.2811734676361084,0.04616835340857506,0.06918907165527344
16.75634765625,-3.354217529296875,0.04579602926969528,0.06490017473697662
16.75689697265625,-2.7184019088745117,0.0452747717499733,0.06039412319660187
16.7574462890625,-2.7433032989501953,0.0446045882999897,0.05568596348166466
16.75799560546875,-2.836268424987793,0.043815258890390396,0.0507914163172245
16.75860595703125,-2.9939773082733154,0.042891889810562134,0.04515433683991432
16.7591552734375,-3.161646604537964,0.04180470108985901,0.03992070257663727
16.75970458984375,-1.508194088935852,0.040598366409540176,0.03455336019396782
16.76025390625,-1.6044795513153076,0.03930267319083214,0.029070252552628517
